chunk	lines	prompt	candidates	thoughts	total
1	63	4947	1551	None	6498
2	80	4792	2552	None	7344
3	80	5003	1648	None	6651
4	80	5005	1478	None	6483
5	21	3096	316	None	3412
6	80	4716	1185	None	5901
7	80	4528	2428	None	6956
8	4	2470	103	None	2573
9	20	3091	359	None	3450
10	80	4296	1863	None	6159
11	80	4294	1854	None	6148
12	80	4288	1866	None	6154
13	80	4280	1866	None	6146
14	80	4294	1845	None	6139
15	80	4408	809	None	5217
16	80	4409	794	None	5203
17	80	4295	1853	None	6148
18	80	4409	793	None	5202
19	80	4410	796	None	5206
20	80	4407	796	None	5203
21	80	4412	799	None	5211
22	74	4654	2280	None	6934
